mc t0:0 5555, 5955, 21828 ,22348 
mc t0:0 5568, 5985, 21808 ,22357 
mc t0:0 5555, 6008, 21766 ,22357 
mc t0:0 5524, 5977, 21820 ,22383 
mc t0:0 5586, 5964, 21820 ,22366 
mc t0:0 5577, 5951, 21816 ,22388 
mc t0:0 5586, 5994, 21825 ,22361 
mc t0:0 5577, 6011, 21783 ,22344 
mc t0:0 5599, 5990, 21837 ,22366 
mc t0:0 5537, 6016, 21808 ,22335 
mc t0:0 5533, 5990, 21825 ,22348 
mc t0:0 5547, 6034, 21816 ,22357 
mc t0:0 5550, 6024, 21828 ,22361 
mc t0:0 5591, 5977, 21808 ,22319 
mc t0:0 5560, 5968, 21820 ,22361 
mc t0:0 5564, 5998, 21825 ,22327 
mc t0:0 5547, 6034, 21796 ,22332 
mc t0:0 5555, 5981, 21799 ,22322 
mc t0:0 5564, 6008, 21804 ,22322 
mc t0:0 5599, 6016, 21808 ,22370 
mc t0:0 5599, 6024, 21799 ,22361 
mc t0:0 5577, 5964, 21828 ,22378 
mc t0:0 5568, 5981, 21808 ,22322 
mc t0:0 5564, 5964, 21787 ,22340 
mc t0:0 5560, 5968, 21804 ,22322 
mc t0:0 5573, 5951, 21787 ,22310 
mc t0:0 5542, 5960, 21812 ,22327 
mc t0:0 5529, 5994, 21799 ,22319 
mc t0:0 5595, 5955, 21820 ,22305 
mc t0:0 5577, 5964, 21766 ,22332 
mc t0:0 5529, 5951, 21791 ,22327 
mc t0:0 5581, 5968, 21825 ,22344 
mc t0:0 5516, 5942, 21796 ,22335 
mc t0:0 5506, 5964, 21804 ,22370 
mc t0:0 5524, 5955, 21808 ,22327 
mc t0:0 5547, 5960, 21783 ,22305 
mc t0:0 5555, 5990, 21774 ,22314 
mc t0:0 5550, 5985, 21825 ,22314 
mc t0:0 5555, 6003, 21804 ,22357 
mc t0:0 5573, 5947, 21804 ,22319 
mc t0:0 -364, 6011, 21804 ,22344 
mc t0:0 5581, 6016, 21799 ,22319 
mc t0:0 5560, 6021, 21808 ,22370 
mc t0:0 5560, 6011, 21783 ,22374 
mc t0:0 5581, 6003, 21787 ,22353 
mc t0:0 5537, 5985, 21820 ,22319 
mc t0:0 5577, 6011, 21828 ,22310 
mc t0:0 5550, 6029, 21796 ,22383 
mc t0:0 5560, 5960, 21825 ,22310 
mc t0:0 5573, 5968, 21787 ,22314 
mc t0:0 5547, 5937, 21825 ,22340 
mc t0:0 5555, 6016, 21791 ,22310 
mc t0:0 5573, 6011, 21787 ,22332 
mc t0:0 5516, 5998, 21812 ,22340 
mc t0:0 5511, 5994, 21816 ,22327 
mc t0:0 5542, 5947, 21820 ,22383 
mc t0:0 5547, 5942, 21820 ,22348 
mc t0:0 5542, 5937, 21825 ,22322 
mc t0:0 5568, 5968, 21779 ,22314 
mc t0:0 5577, 5924, 21825 ,22335 
mc t0:0 5577, 5964, 21820 ,22366 
mc t0:0 5586, 6008, 21774 ,22374 
mc t0:0 5564, 5973, 21791 ,22361 
mc t0:0 5599, 6003, 21779 ,22374 
mc t0:0 5581, 5990, 21808 ,22374 
mc t0:0 5547, 5977, 21774 ,22348 
mc t0:0 5577, 5955, 21804 ,22353 
mc t0:0 5564, 5968, 21812 ,22353 
mc t0:0 5577, 5973, 21804 ,22327 
mc t0:0 5524, 5981, 21828 ,22357 
mc t0:0 5586, 5960, 21783 ,22361 
mc t0:0 5577, 5964, 21779 ,22357 
mc t0:0 5506, 6008, 21804 ,22319 
mc t0:0 5555, 5994, 21796 ,22332 
mc t0:0 5581, 5960, 21816 ,22319 
mc t0:0 5506, 5924, 21825 ,22332 
mc t0:0 5581, 5968, 21783 ,22348 
mc t0:0 5533, 5994, 21808 ,22322 
mc t0:0 5573, 5942, 21791 ,22340 
mc t0:0 5533, 5964, 21799 ,22335 
mc t0:0 5568, 5951, 21791 ,22332 
mc t0:0 5581, 5955, 21799 ,22388 
mc t0:0 5547, 6008, 21828 ,22344 
mc t0:0 5511, 5981, 21796 ,22335 
mc t0:0 5542, 5942, 21787 ,22332 
mc t0:0 5550, 5951, 21774 ,22327 
mc t0:0 5577, 5968, 21820 ,22310 
mc t0:0 5581, 5981, 21828 ,22332 
mc t0:0 5533, 5998, 21779 ,22310 
mc t0:0 5573, 5981, 21837 ,22327 
mc t0:0 5568, 5994, 21808 ,22374 
mc t0:0 5550, 5964, 21787 ,22332 
mc t0:0 5568, 5990, 21816 ,22332 
mc t0:0 5586, 5994, 21799 ,22327 
mc t0:0 5555, 5960, 21804 ,22400 
mc t0:0 5577, 5998, 21825 ,22335 
mc t0:0 5568, 5990, 21774 ,22340 
mc t0:0 5568, 5990, 21783 ,22348 
mc t0:0 5560, 5973, 21787 ,22335 
mc t0:0 5573, 5942, 21828 ,22361 
mc t0:0 5555, 5994, 21837 ,22322 
mc t0:0 5586, 5951, 21804 ,22344 
mc t0:0 5595, 5964, 21779 ,22383 
mc t0:0 5568, 5968, 21812 ,22348 
mc t0:0 5542, 5977, 21791 ,22340 
mc t0:0 5564, 5921, 21816 ,22332 
mc t0:0 5568, 5937, 21804 ,22357 
mc t0:0 5581, 5981, 21812 ,22383 
mc t0:0 5568, 5981, 21820 ,22378 
mc t0:0 5586, 5973, 21828 ,22366 
mc t0:0 5568, 5990, 21833 ,22332 
mc t0:0 5577, 6016, 21758 ,22340 
mc t0:0 5581, 5960, 21783 ,22332 
mc t0:0 5555, 5947, 21812 ,22357 
mc t0:0 5560, 5994, 21787 ,22310 
mc t0:0 5560, 5968, 21783 ,22378 
mc t0:0 5568, 5955, 21745 ,22332 
mc t0:0 5547, 5964, 21787 ,22327 
mc t0:0 5537, 5981, 21820 ,22388 
mc t0:0 5568, 6011, 21779 ,22340 
mc t0:0 5586, 5955, 21812 ,22383 
mc t0:0 5511, 5942, 21774 ,22366 
mc t0:0 5577, 5964, 21825 ,22344 
mc t0:0 5511, 6016, 21812 ,22361 
mc t0:0 5564, 6024, 21774 ,22344 
mc t0:0 5568, 6011, 21799 ,22357 
mc t0:0 5560, 5994, 21833 ,22319 
mc t0:0 5537, 5964, 21816 ,22361 
mc t0:0 5564, 5973, 21833 ,22319 
mc t0:0 5519, 5951, 21828 ,22388 
mc t0:0 5564, 5968, 21796 ,22332 
mc t0:0 5542, 5947, 21858 ,22340 
mc t0:0 5560, 5977, 21808 ,22357 
mc t0:0 5568, 6029, 21828 ,22353 
mc t0:0 5564, 5985, 21791 ,22344 
mc t0:0 5555, 6016, 21833 ,22314 
mc t0:0 5568, 5990, 21804 ,22361 
mc t0:0 5555, 5968, 21841 ,22314 
mc t0:0 5524, 5964, 21774 ,22340 
mc t0:0 5595, 5990, 21804 ,22327 
mc t0:0 5568, 6008, 21799 ,22335 
mc t0:0 5516, 6024, 21833 ,22319 
mc t0:0 5577, 5916, 21796 ,22366 
mc t0:0 5564, 5994, 21799 ,22322 
mc t0:0 5586, 6024, 21808 ,22327 
mc t0:0 5537, 5994, 21791 ,22327 
mc t0:0 5524, 5994, 21804 ,22322 
mc t0:0 5581, 5942, 21828 ,22314 
mc t0:0 5555, 5977, 21812 ,22357 
mc t0:0 5568, 5951, 21804 ,22332 
mc t0:0 5524, 5968, 21812 ,22353 
mc t0:0 5568, 5947, 21771 ,22327 
mc t0:0 5573, 6003, 21791 ,22310 
mc t0:0 5564, 6003, 21816 ,22374 
mc t0:0 5573, 5942, 21820 ,22322 
mc t0:0 5577, 5955, 21828 ,22310 
mc t0:0 5533, 5955, 21816 ,22335 
mc t0:0 5581, 5994, 21837 ,22366 
mc t0:0 5595, 6016, 21771 ,22366 
mc t0:0 5573, 5955, 21812 ,22322 
mc t0:0 5591, 5934, 21758 ,22319 
mc t0:0 5564, 6011, 21779 ,22319 
mc t0:0 5573, 5947, 21825 ,22340 
mc t0:0 5568, 6016, 21816 ,22357 
mc t0:0 5564, 5994, 21804 ,22348 
mc t0:0 5568, 5947, 21808 ,22319 
mc t0:0 5595, 5973, 21779 ,22366 
mc t0:0 5564, 6008, 21766 ,22332 
mc t0:0 5577, 5951, 21812 ,22344 
mc t0:0 5537, 5985, 21783 ,22327 
mc t0:0 5573, 5981, 21774 ,22340 
mc t0:0 5542, 5955, 21820 ,22332 
mc t0:0 5560, 6008, 21796 ,22319 
mc t0:0 5573, 5942, 21779 ,22327 
